iter	Passed	Remaining
715	1866	740
716	1867	736
717	1867	733
718	1868	730
719	1868	726
720	1869	723
721	1870	720
722	1871	716
723	1871	713
724	1872	710
725	1872	706
726	1873	703
727	1874	700
728	1874	697
729	1875	693
730	1876	690
731	1877	687
732	1879	684
733	1880	681
734	1881	678
735	1882	675
736	1882	671
737	1883	668
738	1884	665
739	1884	662
740	1885	659
741	1886	655
742	1886	652
743	1887	649
744	1888	646
745	1888	643
746	1889	639
747	1890	636
748	1890	633
749	1891	630
750	1892	627
751	1894	624
752	1895	621
753	1896	618
754	1896	615
755	1897	612
756	1898	609
757	1899	606
758	1900	603
759	1900	600
760	1901	597
761	1902	594
762	1902	591
763	1903	588
764	1904	584
765	1904	581
766	1905	578
767	1906	575
768	1906	572
769	1908	570
770	1910	567
771	1910	564
772	1911	561
773	1912	558
774	1913	555
775	1913	552
776	1914	549
777	1915	546
778	1915	543
779	1916	540
780	1917	537
781	1917	534
782	1918	531
783	1918	528
784	1919	525
785	1920	522
786	1920	519
787	1921	517
788	1923	514
789	1924	511
790	1925	508
791	1926	505
792	1926	503
793	1927	500
794	1928	497
795	1928	494
796	1929	491
797	1930	488
798	1930	485
799	1931	482
800	1932	480
801	1932	477
802	1933	474
803	1934	471
804	1934	468
805	1935	465
806	1936	463
807	1936	460
808	1938	457
809	1939	454
810	1940	452
811	1941	449
812	1941	446
813	1942	443
814	1942	441
815	1943	438
816	1944	435
817	1944	432
818	1945	429
819	1946	427
820	1946	424
821	1947	421
822	1948	418
823	1948	416
824	1949	413
825	1950	410
826	1950	408
827	1951	405
828	1952	402
829	1953	400
830	1954	397
831	1955	394
832	1955	392
833	1956	389
834	1957	386
835	1958	384
836	1958	381
837	1959	378
838	1960	376
839	1960	373
840	1961	370
841	1962	368
842	1962	365
843	1963	362
844	1964	360
845	1964	357
846	1965	355
847	1966	352
848	1966	349
849	1969	347
850	1970	344
851	1970	342
852	1971	339
853	1972	337
854	1972	334
855	1973	332
856	1974	329
857	1974	326
858	1975	324
859	1976	321
860	1976	319
861	1977	316
862	1978	314
863	1978	311
864	1979	308
865	1980	306
866	1980	303
867	1981	301
868	1983	298
869	1984	296
870	1985	294
871	1986	291
872	1986	289
873	1987	286
874	1988	284
875	1988	281
876	1989	279
877	1989	276
878	1990	274
879	1991	271
880	1991	269
881	1992	266
882	1993	264
883	1993	261
884	1994	259
885	1995	256
886	1995	254
887	1996	251
888	1997	249
889	1998	247
890	1999	244
891	2000	242
892	2000	239
893	2001	237
894	2002	234
895	2002	232
896	2003	230
897	2003	227
898	2004	225
899	2005	222
900	2005	220
901	2006	218
902	2007	215
903	2007	213
904	2008	210
905	2009	208
906	2009	206
907	2010	203
908	2011	201
909	2012	199
910	2013	196
911	2014	194
912	2014	191
913	2015	189
914	2016	187
915	2016	184
916	2017	182
917	2018	180
918	2018	177
919	2019	175
920	2020	173
921	2020	170
922	2021	168
923	2021	166
924	2022	163
925	2023	161
926	2023	159
927	2024	157
928	2025	154
929	2025	152
930	2026	150
931	2027	147
932	2028	145
933	2029	143
934	2030	141
935	2030	138
936	2031	136
937	2032	134
938	2032	132
939	2033	129
940	2034	127
941	2034	125
942	2035	123
943	2036	120
944	2036	118
945	2037	116
946	2038	114
947	2038	111
948	2039	109
949	2040	107
950	2040	105
951	2041	102
952	2042	100
953	2043	98
954	2044	96
955	2045	94
956	2045	91
957	2046	89
958	2047	87
959	2047	85
960	2048	83
961	2049	80
962	2049	78
963	2050	76
964	2050	74
965	2051	72
966	2052	70
967	2053	67
968	2053	65
969	2054	63
970	2055	61
971	2055	59
972	2056	57
973	2057	54
974	2058	52
975	2059	50
976	2059	48
977	2060	46
978	2061	44
979	2061	42
980	2062	39
981	2063	37
982	2063	35
983	2064	33
984	2065	31
985	2065	29
986	2066	27
987	2067	25
988	2067	22
989	2068	20
990	2069	18
991	2069	16
992	2070	14
993	2071	12
994	2073	10
995	2073	8
996	2074	6
997	2075	4
998	2075	2
999	2076	0
